10
40	0
6436.0000	0.9697	0.9643
6436.1500	0.9702	0.9660
6436.3000	0.9704	0.9658
6436.4500	0.9732	0.9689
6436.6000	0.9725	0.9688
6436.7500	0.9717	0.9668
6436.9000	0.9704	0.9657
6437.0500	0.9689	0.9637
6437.2000	0.9665	0.9614
6437.3500	0.9609	0.9563
6437.5000	0.9505	0.9467
6437.6500	0.9310	0.9309
6437.8000	0.9025	0.9034
6437.9500	0.8718	0.8696
6438.1000	0.8412	0.8362
6438.2500	0.8134	0.8073
6438.4000	0.7900	0.7820
6438.5500	0.7708	0.7619
6438.7000	0.7568	0.7487
6438.8500	0.7477	0.7377
6439.0000	0.7429	0.7317
6439.1500	0.7433	0.7321
6439.3000	0.7488	0.7392
6439.4500	0.7608	0.7505
6439.6000	0.7788	0.7693
6439.7500	0.8039	0.7925
6439.9000	0.8324	0.8209
6440.0500	0.8604	0.8494
6440.2000	0.8863	0.8776
6440.3500	0.9097	0.9034
6440.5000	0.9334	0.9299
6440.6500	0.9495	0.9445
6440.8000	0.9586	0.9531
6440.9500	0.9638	0.9592
6441.1000	0.9684	0.9630
6441.2500	0.9714	0.9667
6441.4000	0.9731	0.9687
6441.5500	0.9736	0.9698
6441.7000	0.9744	0.9700
6441.8500	0.9747	0.9706
40	0.1
6436.0000	0.9721	0.9668
6436.1500	0.9724	0.9678
6436.3000	0.9735	0.9689
6436.4500	0.9757	0.9706
6436.6000	0.9752	0.9696
6436.7500	0.9740	0.9694
6436.9000	0.9735	0.9673
6437.0500	0.9714	0.9665
6437.2000	0.9680	0.9622
6437.3500	0.9623	0.9576
6437.5000	0.9522	0.9484
6437.6500	0.9344	0.9340
6437.8000	0.9071	0.9073
6437.9500	0.8772	0.8734
6438.1000	0.8474	0.8407
6438.2500	0.8203	0.8134
6438.4000	0.7974	0.7879
6438.5500	0.7789	0.7687
6438.7000	0.7651	0.7525
6438.8500	0.7560	0.7450
6439.0000	0.7519	0.7396
6439.1500	0.7523	0.7415
6439.3000	0.7576	0.7467
6439.4500	0.7685	0.7572
6439.6000	0.7833	0.7732
6439.7500	0.8018	0.7931
6439.9000	0.8241	0.8141
6440.0500	0.8495	0.8406
6440.2000	0.8772	0.8711
6440.3500	0.9055	0.9020
6440.5000	0.9334	0.9304
6440.6500	0.9514	0.9463
6440.8000	0.9613	0.9557
6440.9500	0.9676	0.9619
6441.1000	0.9716	0.9667
6441.2500	0.9742	0.9694
6441.4000	0.9760	0.9714
6441.5500	0.9765	0.9720
6441.7000	0.9766	0.9724
6441.8500	0.9768	0.9722
40	0.2
6436.0000	0.9727	0.9678
6436.1500	0.9729	0.9673
6436.3000	0.9740	0.9706
6436.4500	0.9759	0.9722
6436.6000	0.9761	0.9707
6436.7500	0.9754	0.9717
6436.9000	0.9742	0.9682
6437.0500	0.9718	0.9667
6437.2000	0.9684	0.9631
6437.3500	0.9628	0.9581
6437.5000	0.9531	0.9495
6437.6500	0.9356	0.9354
6437.8000	0.9087	0.9087
6437.9500	0.8792	0.8749
6438.1000	0.8493	0.8419
6438.2500	0.8226	0.8137
6438.4000	0.7999	0.7893
6438.5500	0.7816	0.7721
6438.7000	0.7680	0.7572
6438.8500	0.7592	0.7466
6439.0000	0.7555	0.7411
6439.1500	0.7561	0.7436
6439.3000	0.7606	0.7488
6439.4500	0.7699	0.7599
6439.6000	0.7824	0.7733
6439.7500	0.7991	0.7907
6439.9000	0.8205	0.8126
6440.0500	0.8466	0.8398
6440.2000	0.8760	0.8704
6440.3500	0.9056	0.9029
6440.5000	0.9340	0.9313
6440.6500	0.9522	0.9481
6440.8000	0.9622	0.9569
6440.9500	0.9686	0.9623
6441.1000	0.9727	0.9680
6441.2500	0.9754	0.9700
6441.4000	0.9768	0.9726
6441.5500	0.9770	0.9721
6441.7000	0.9772	0.9734
